City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
386,jacareacanga,-6.2222,-57.7528,72.91,99,95,1.03,BR,1675822674
387,san patricio,28.017,-97.5169,73.35,80,94,13.91,US,1675822515
388,srednekolymsk,67.45,153.6833,-27.22,96,100,5.35,RU,1675822674
389,togur,58.3631,82.8265,1.13,97,93,5.75,RU,1675822676
390,farah,32.5,62.5,49.39,58,100,2.33,AF,1675822677
391,flinders,-34.5833,150.8552,71.19,90,100,1.99,AU,1675822678
392,ukmerge,55.25,24.75,28.67,90,70,7.83,LT,1675822679
393,arandis,-22.4167,14.9667,64.94,79,35,3.8,NA,1675822680
394,mugur-aksy,50.35,90.5,-5.48,85,100,5.64,RU,1675822681
395,dvinskoy,62.1535,45.1175,25.74,93,100,9.06,RU,1675822681
396,saint-joseph,-21.3667,55.6167,75.58,80,70,14.0,RE,1675822682
397,verkhnyachka,48.8285,30.0396,18.9,84,14,10.83,UA,1675822683
398,grand gaube,-20.0064,57.6608,79.2,80,32,5.01,MU,1675822684
399,itoman,26.1247,127.6694,71.98,70,20,12.66,JP,1675822685
400,nemuro,43.3236,145.575,26.15,59,35,4.41,JP,1675822465
401,palmer,42.1584,-72.3287,33.85,80,100,6.91,US,1675822682
402,hofn,64.2539,-15.2082,31.66,71,100,18.37,IS,1675822602
403,harlingen,26.1906,-97.6961,74.05,88,40,18.41,US,1675822423
404,atar,20.5169,-13.0499,59.18,29,3,11.54,MR,1675822688
405,tchollire,8.4022,14.1698,70.12,18,8,2.64,CM,1675822689
406,pauini,-7.7136,-66.9764,72.63,93,98,1.95,BR,1675822691
407,nizwa,22.9333,57.5333,65.84,45,10,1.57,OM,1675822692
408,hualmay,-11.0964,-77.6139,73.18,83,21,6.62,PE,1675822693
409,skegness,53.1436,0.3363,34.05,90,9,9.01,GB,1675822693
410,vostok,46.4856,135.8833,4.1,75,87,10.25,RU,1675822695
411,jeremie,18.65,-74.1167,76.48,76,9,7.2,HT,1675822696
412,victoria,22.2855,114.1577,66.38,85,97,15.01,HK,1675822531
413,custodia,-8.0875,-37.6431,69.28,59,98,5.55,BR,1675822698
414,jagalur,14.5333,76.35,71.4,47,25,4.52,IN,1675822699
415,la ronge,55.1001,-105.2842,30.45,47,0,10.36,CA,1675822699
416,kizema,61.113,44.8302,23.13,93,100,9.26,RU,1675822700
417,sayyan,15.1718,44.3244,51.06,65,11,1.05,YE,1675822701
418,santa marinella,42.0345,11.8536,36.48,58,77,7.49,IT,1675822703
419,salym,60.0625,71.4789,-23.42,100,96,2.66,RU,1675822704
420,suntar,62.1444,117.6319,-24.88,96,100,2.35,RU,1675822705
421,avenal,36.0041,-120.129,50.97,57,100,2.59,US,1675822706
422,lavrentiya,65.5833,-171.0,-14.3,92,97,2.77,RU,1675822678
423,luderitz,-26.6481,15.1594,65.25,83,27,18.95,NA,1675822708
424,noyabrsk,63.1994,75.4507,-19.52,100,99,6.04,RU,1675822710
425,kamenka,51.3223,42.7678,6.57,94,7,10.0,RU,1675822710
426,sal rei,16.1833,-22.9167,67.51,65,4,19.82,CV,1675822712
427,grindavik,63.8424,-22.4338,26.55,86,75,35.68,IS,1675822713
428,itarema,-2.9248,-39.9167,77.85,82,100,8.81,BR,1675822543
429,san quintin,30.4833,-115.95,59.27,51,0,4.5,MX,1675822715
430,katastarion,37.8333,20.7667,26.49,61,99,13.89,GR,1675822717
431,shenjiamen,29.9576,122.298,49.78,76,88,11.34,CN,1675822718
432,saint anthony,45.0205,-93.218,28.49,80,0,5.75,US,1675822532
433,cascina,43.6791,10.4994,38.23,42,0,11.01,IT,1675822719
434,jumla,29.2747,82.1838,36.27,41,0,3.4,NP,1675822720
435,corinto,37.9407,22.9573,40.89,82,90,4.76,GR,1675822720
436,tomigusuku,26.185,127.675,71.73,70,20,12.66,JP,1675822721
437,anajatuba,-3.2644,-44.6197,73.35,97,100,3.27,BR,1675822722
438,saint-augustin,51.226,-58.6502,-3.28,86,17,5.14,CA,1675822529
439,mahon,39.8885,4.2658,50.56,81,75,19.57,ES,1675822723
440,mandera,3.9366,41.867,75.63,67,2,11.39,KE,1675822724
441,coahuayana,18.7333,-103.6833,71.91,90,13,0.54,MX,1675822724
442,haines junction,60.7522,-137.5108,26.55,80,24,4.61,CA,1675822725
443,ilulissat,69.2167,-51.1,-16.58,76,75,6.91,GL,1675822601
444,fairbanks,64.8378,-147.7164,6.6,80,100,0.0,US,1675822200
445,moron,-34.6534,-58.6198,82.0,72,0,9.06,AR,1675822727
446,trzebnica,51.3108,17.0633,29.71,79,61,5.01,PL,1675822727
447,saltillo,25.4167,-101.0,64.29,43,40,13.8,MX,1675822525
448,richards bay,-28.783,32.0377,72.5,97,3,3.2,ZA,1675822729
449,fairview,40.8126,-73.999,42.01,73,100,10.36,US,1675822730
450,prado,-17.3411,-39.2208,77.36,82,2,10.04,BR,1675822731
451,danilov,58.1908,40.1717,13.51,94,96,7.85,RU,1675822732
452,pangoa,-12.1167,-73.0,68.13,99,51,0.74,PE,1675822732
